dataset_name,H-Inception-mean,H-Inception-std,H-InceptionTime
ACSF1,0.92,0.017888543819998,0.94
Adiac,0.838363171355499,0.007124495282447,0.843989769820972
AllGestureWiimoteX,0.780285714285714,0.006087793072189,0.791428571428571
AllGestureWiimoteY,0.814,0.014607797749902,0.835714285714286
AllGestureWiimoteZ,0.780285714285714,0.008,0.802857142857143
ArrowHead,0.875428571428571,0.023253702799287,0.891428571428571
BME,0.992,0.002666666666667,0.993333333333333
Beef,0.72,0.026666666666667,0.7
BeetleFly,0.76,0.048989794855664,0.75
BirdChicken,0.93,0.04,0.95
CBF,0.997333333333333,0.000888888888889,0.997777777777778
Car,0.896666666666667,0.012472191289247,0.9
Chinatown,0.977842565597668,0.006003282881042,0.979591836734694
ChlorineConcentration,0.878489583333333,0.005880113761418,0.882552083333333
CinCECGTorso,0.841159420289855,0.011624959205887,0.844202898550725
Coffee,1,0,1
Computers,0.8024,0.015094369811291,0.812
CricketX,0.835897435897436,0.003626188621469,0.853846153846154
CricketY,0.834871794871795,0.004166173540839,0.851282051282051
CricketZ,0.851282051282051,0.003972290611495,0.853846153846154
Crop,0.753869047619048,0.002890921358988,0.772142857142857
DiatomSizeReduction,0.94640522875817,0.008913844246396,0.947712418300653
DistalPhalanxOutlineAgeGroup,0.739568345323741,0.018426256798368,0.741007194244604
DistalPhalanxOutlineCorrect,0.780434782608696,0.00746060155144,0.797101449275362
DistalPhalanxTW,0.657553956834532,0.019088488002046,0.654676258992806
DodgerLoopDay,0.5675,0.039210967853395,0.5875
DodgerLoopGame,0.840579710144927,0.024251015261857,0.833333333333333
DodgerLoopWeekend,0.965217391304348,0.008450654920066,0.971014492753623
ECG200,0.902,0.007483314773548,0.9
ECG5000,0.938622222222222,0.001328881456687,0.939333333333333
ECGFiveDays,0.999070847851336,0.001354460370463,1
EOGHorizontalSignal,0.602209944751381,0.012956949612772,0.621546961325967
EOGVerticalSignal,0.462430939226519,0.016258496098964,0.466850828729282
Earthquakes,0.725179856115108,0.028195565384555,0.726618705035971
ElectricDevices,0.705148489171314,0.008917793727276,0.714044870963559
EthanolLevel,0.77,0.015849290204927,0.788
FaceAll,0.810532544378698,0.00402018645005,0.818343195266272
FaceFour,0.947727272727273,0.009090909090909,0.954545454545455
FacesUCR,0.961853658536585,0.002851051550479,0.96780487804878
