dataset_name,CO-FCN-mean,CO-FCN-std
SemgHandMovementCh2,0.317333333333333,0.022636145027994
SemgHandSubjectCh2,0.599111111111111,0.014442734941575
ShakeGestureWiimoteZ,0.928,0.016
SmoothSubspace,0.952,0.006531972647422
UMD,0.988888888888889,0.003402069087199
Crop,0.741571428571428,0.001734422080881
ElectricDevices,0.704992867332382,0.00675776375113
FordA,0.948030303030303,0.003968424501124
FordB,0.819753086419753,0.007489259697829
HandOutlines,0.801621621621622,0.047265626462052
NonInvasiveFetalECGThorax1,0.966819338422392,0.001860118766666
NonInvasiveFetalECGThorax2,0.966921119592875,0.001067489921802
PhalangesOutlinesCorrect,0.827272727272727,0.009069965714846
StarLightCurves,0.969426906265177,0.00213419840143
TwoPatterns,0.99555,0.000696419413859
UWaveGestureLibraryAll,0.848464544946957,0.003209404324556
UWaveGestureLibraryX,0.804634282523729,0.002429933573086
UWaveGestureLibraryY,0.719932998324958,0.002924801977378
UWaveGestureLibraryZ,0.758626465661641,0.004756122711122
Wafer,0.998767034393251,0.000129785853342
